,dataset,model,gamma,pm1,pm2,pm3,mm1,mm2,mm3
4,GunPoint,fcn_mt_ae,0.75,0.9744838370167482,0.7805058537598628,0.7965862300494195,0.00037306122943208477,0.004328097857534885,0.004854863147390169
0,GunPoint,fcn_mt_conv,0.25,0.8019138153673036,0.6401789678042118,0.7943098291968018,0.0023711000745544,0.0039076998895034,0.0049066288464587
5,GunPoint,fcn_mt_conv,0.5,0.8049945572200329,0.6432494904767448,0.7942853574426113,0.0023875581122609,0.0035188344041816,0.0049928257484816
10,GunPoint,fcn_mt_conv,0.75,0.766923741953219,0.5420924930890839,0.7219437586181787,0.002721865506191,0.0031316475719213,0.0048075191030267
1,GunPoint,fcn_mt_nn,0.25,0.573898580922693,0.4486024104535721,0.7851641498657143,0.0037573752102825,0.0023546980045503,0.0048555427214158
6,GunPoint,fcn_mt_nn,0.5,0.5001651611036145,0.3657299887961188,0.7317316525357599,0.0042676147050993,0.0020800007893703,0.0049293041358109
11,GunPoint,fcn_mt_nn,0.75,0.4053724399615144,0.3202271593046457,0.7611383413581729,0.0048526549679009,0.0016916227313922,0.0048935274226067
2,GunPoint,resnet_mt_ae,0.25,0.9902786244419698,0.6104087530667309,0.6129590060742356,0.0001453663379992,0.0046437355251982,0.0046811530589487
7,GunPoint,resnet_mt_ae,0.5,0.9882250456538508,0.6497413827229848,0.653527606881776,0.000179093123657,0.0045766896293498,0.0045774139397108
12,GunPoint,resnet_mt_ae,0.75,0.9862341529543124,0.68162451786735,0.684352849684955,0.000203705308487,0.0046256458468269,0.0046197500206778
3,GunPoint,resnet_mt_conv,0.25,0.9716463536672196,0.6544578974179872,0.66778018996748,0.0004226370866118,0.0045137709327973,0.004617125454214
8,GunPoint,resnet_mt_conv,0.5,0.9527556109229872,0.6336710215413566,0.6568059699202173,0.0006723379844613,0.0047891720593906,0.0050974980808835
13,GunPoint,resnet_mt_conv,0.75,0.9296382903761854,0.5538564412434704,0.5796081454328895,0.0010075550487556,0.0049570689664687,0.005168991114957
4,GunPoint,resnet_mt_nn,0.25,0.9941795341322728,0.680519854108814,0.6826309186067046,7.981942082216924e-05,0.004061685960507,0.0041074197458622
9,GunPoint,resnet_mt_nn,0.5,0.9954628261369624,0.6464693843861472,0.6488038696546667,6.289765516679788e-05,0.0045402400365564,0.0046246896830072
14,GunPoint,resnet_mt_nn,0.75,0.990369235045393,0.5377643886591301,0.5426927390229954,0.0001312017625779,0.0052378626225981,0.0054210862405259
