loss,task_1_output_loss,task_2_output_loss,task_1_output_accuracy,task_2_output_accuracy,val_loss,val_task_1_output_loss,val_task_2_output_loss,val_task_1_output_accuracy,val_task_2_output_accuracy,lr
0.35809898376464844,0.401699036359787,0.31449899077415466,0.8600000143051147,0.699999988079071,0.8478713631629944,1.0240317583084106,0.6717109680175781,0.5066666603088379,0.09333333373069763,0.001
0.28688845038414,0.28391316533088684,0.2898637652397156,0.9399999976158142,0.7599999904632568,0.8671870827674866,1.0613337755203247,0.6730402112007141,0.5066666603088379,0.09333333373069763,0.001
0.319173127412796,0.3347032070159912,0.30364301800727844,0.8600000143051147,0.7200000286102295,0.9085623025894165,1.2024383544921875,0.6146861910820007,0.5066666603088379,0.09333333373069763,0.001
0.3410423994064331,0.35834556818008423,0.323739230632782,0.8399999737739563,0.6800000071525574,0.8699195384979248,1.1046847105026245,0.6351545453071594,0.5066666603088379,0.09333333373069763,0.001
0.293741911649704,0.2769288718700409,0.3105549216270447,0.9200000166893005,0.699999988079071,0.8803987503051758,1.1569228172302246,0.6038747429847717,0.5066666603088379,0.09333333373069763,0.001
0.261465847492218,0.21855907142162323,0.3043726086616516,0.9599999785423279,0.6600000262260437,0.9902122020721436,1.3593077659606934,0.6211164593696594,0.5066666603088379,0.09333333373069763,0.001
0.26326707005500793,0.22717787325382233,0.29935622215270996,0.9200000166893005,0.6800000071525574,0.9854679107666016,1.3190484046936035,0.6518871784210205,0.5066666603088379,0.09333333373069763,0.001
0.2553485333919525,0.23118019104003906,0.27951687574386597,0.9200000166893005,0.800000011920929,0.8132707476615906,1.050584316253662,0.575957179069519,0.5266666412353516,0.09333333373069763,0.001
0.3194671869277954,0.342799574136734,0.2961348593235016,0.8600000143051147,0.6800000071525574,1.0269094705581665,1.4674245119094849,0.5863944888114929,0.5066666603088379,0.19333332777023315,0.001
0.33891165256500244,0.38471388816833496,0.2931094467639923,0.9399999976158142,0.6800000071525574,0.9616417288780212,1.293689250946045,0.6295942068099976,0.5266666412353516,0.14000000059604645,0.001
0.29750609397888184,0.29631608724594116,0.2986961007118225,0.8999999761581421,0.7200000286102295,0.8662034273147583,1.232901692390442,0.4995054006576538,0.5066666603088379,0.31333333253860474,0.001
0.33268803358078003,0.35241276025772095,0.3129633069038391,0.8600000143051147,0.7200000286102295,0.8072947859764099,1.1151814460754395,0.4994080066680908,0.5133333206176758,0.3400000035762787,0.001
0.27036750316619873,0.26008158922195435,0.2806534469127655,0.9200000166893005,0.7599999904632568,0.8118728995323181,1.096256971359253,0.5274889469146729,0.5266666412353516,0.19333332777023315,0.001
0.27294084429740906,0.25998160243034363,0.28590014576911926,0.8999999761581421,0.7400000095367432,0.892532229423523,1.2455229759216309,0.5395415425300598,0.5400000214576721,0.273333340883255,0.001
0.22565308213233948,0.17622411251068115,0.2750820219516754,0.9800000190734863,0.6800000071525574,0.6818873882293701,0.8907325267791748,0.47304248809814453,0.6200000047683716,0.2866666615009308,0.001
0.2649867534637451,0.2375735491514206,0.29239991307258606,0.9200000166893005,0.7200000286102295,0.762985348701477,1.0226802825927734,0.5032902359962463,0.6800000071525574,0.20666666328907013,0.001
0.21594715118408203,0.17947253584861755,0.2524217665195465,0.9399999976158142,0.7799999713897705,0.7523645758628845,1.011583924293518,0.4931449890136719,0.699999988079071,0.31333333253860474,0.001
0.21100512146949768,0.14622125029563904,0.2757889926433563,0.9800000190734863,0.7200000286102295,0.7155541777610779,0.9628825783729553,0.4682258069515228,0.6733333468437195,0.36000001430511475,0.001
0.2053968459367752,0.136296808719635,0.2744968831539154,0.9599999785423279,0.6800000071525574,0.6349093914031982,0.8413501977920532,0.428468257188797,0.6866666674613953,0.41999998688697815,0.001
0.23670150339603424,0.20702391862869263,0.26637911796569824,0.8999999761581421,0.699999988079071,0.5407114624977112,0.671394944190979,0.4100278913974762,0.7200000286102295,0.41999998688697815,0.001
0.31196829676628113,0.3282540440559387,0.29568254947662354,0.8600000143051147,0.7400000095367432,0.6014280319213867,0.7876733541488647,0.4151827096939087,0.6266666650772095,0.4333333373069763,0.001
0.2725832164287567,0.25828927755355835,0.28687718510627747,0.9200000166893005,0.7200000286102295,0.9249882102012634,1.4043360948562622,0.4456404745578766,0.5733333230018616,0.40666666626930237,0.001
0.25248634815216064,0.23845724761486053,0.26651549339294434,0.9599999785423279,0.7599999904632568,0.9866217970848083,1.5365080833435059,0.436735063791275,0.5266666412353516,0.3933333456516266,0.001
0.2402993142604828,0.20452357828617096,0.2760750651359558,0.9200000166893005,0.6800000071525574,0.5466209053993225,0.7276276350021362,0.36561402678489685,0.6800000071525574,0.4866666793823242,0.001
